detector,window_size,step,threshold,detection_probability,false_alarm_rate,false_discovery_rate,precision
Zscore Detector - 20 - 8 - 2.5 - MIN_MAX_ZERO_CENTERED,20,8,2.5,63.46 +- 29.82%,4.26 +- 1.25%,99.99 +- 0.00%,0.01 +- 0.00%
Zscore Detector - 20 - 8 - 3.0 - MIN_MAX_ZERO_CENTERED,20,8,3.0,44.92 +- 25.90%,2.43 +- 0.84%,99.99 +- 0.01%,0.01 +- 0.01%
Zscore Detector - 20 - 8 - 4.0 - MIN_MAX_ZERO_CENTERED,20,8,4.0,26.45 +- 25.75%,0.86 +- 0.36%,99.99 +- 0.02%,0.01 +- 0.02%
Zscore Detector - 20 - 20 - 2.5 - MIN_MAX_ZERO_CENTERED,20,20,2.5,36.47 +- 27.94%,2.05 +- 1.68%,99.96 +- 0.05%,0.04 +- 0.05%
Zscore Detector - 20 - 20 - 3.0 - MIN_MAX_ZERO_CENTERED,20,20,3.0,29.33 +- 26.85%,1.29 +- 1.13%,99.94 +- 0.09%,0.06 +- 0.09%
Zscore Detector - 20 - 20 - 4.0 - MIN_MAX_ZERO_CENTERED,20,20,4.0,22.39 +- 22.21%,0.55 +- 0.54%,99.87 +- 0.22%,0.13 +- 0.22%
Zscore Detector - 50 - 20 - 2.5 - MIN_MAX_ZERO_CENTERED,50,20,2.5,23.14 +- 23.27%,0.87 +- 0.83%,99.92 +- 0.14%,0.08 +- 0.14%
Zscore Detector - 50 - 20 - 3.0 - MIN_MAX_ZERO_CENTERED,50,20,3.0,15.64 +- 17.69%,0.41 +- 0.40%,99.89 +- 0.21%,0.11 +- 0.21%
Zscore Detector - 50 - 20 - 4.0 - MIN_MAX_ZERO_CENTERED,50,20,4.0,6.36 +- 11.03%,0.11 +- 0.10%,99.84 +- 0.51%,0.16 +- 0.51%
Zscore Detector - 50 - 40 - 2.5 - MIN_MAX_ZERO_CENTERED,50,40,2.5,17.60 +- 17.81%,1.42 +- 1.46%,99.88 +- 0.29%,0.12 +- 0.29%
Zscore Detector - 50 - 40 - 3.0 - MIN_MAX_ZERO_CENTERED,50,40,3.0,6.32 +- 11.88%,0.77 +- 0.84%,99.96 +- 0.12%,0.04 +- 0.12%
Zscore Detector - 50 - 40 - 4.0 - MIN_MAX_ZERO_CENTERED,50,40,4.0,3.28 +- 7.60%,0.23 +- 0.27%,99.82 +- 0.58%,0.18 +- 0.58%
Zscore Detector - 100 - 20 - 2.5 - MIN_MAX_ZERO_CENTERED,100,20,2.5,22.61 +- 19.80%,0.63 +- 0.59%,99.87 +- 0.19%,0.13 +- 0.19%
Zscore Detector - 100 - 20 - 3.0 - MIN_MAX_ZERO_CENTERED,100,20,3.0,14.89 +- 15.39%,0.25 +- 0.23%,99.82 +- 0.30%,0.18 +- 0.30%
Zscore Detector - 100 - 20 - 4.0 - MIN_MAX_ZERO_CENTERED,100,20,4.0,7.67 +- 11.97%,0.06 +- 0.04%,99.80 +- 0.52%,0.20 +- 0.52%
Zscore Detector - 100 - 40 - 2.5 - MIN_MAX_ZERO_CENTERED,100,40,2.5,15.79 +- 13.27%,1.12 +- 1.13%,99.90 +- 0.19%,0.10 +- 0.19%
Zscore Detector - 100 - 40 - 3.0 - MIN_MAX_ZERO_CENTERED,100,40,3.0,9.58 +- 14.57%,0.50 +- 0.54%,99.90 +- 0.26%,0.10 +- 0.26%
Zscore Detector - 100 - 40 - 4.0 - MIN_MAX_ZERO_CENTERED,100,40,4.0,6.24 +- 11.83%,0.10 +- 0.11%,99.60 +- 1.22%,0.40 +- 1.22%
Zscore Detector - 100 - 100 - 2.5 - MIN_MAX_ZERO_CENTERED,100,100,2.5,12.01 +- 13.13%,2.51 +- 2.41%,99.96 +- 0.08%,0.04 +- 0.08%
Zscore Detector - 100 - 100 - 3.0 - MIN_MAX_ZERO_CENTERED,100,100,3.0,8.25 +- 11.41%,1.51 +- 1.54%,99.93 +- 0.17%,0.07 +- 0.17%
Zscore Detector - 100 - 100 - 4.0 - MIN_MAX_ZERO_CENTERED,100,100,4.0,4.29 +- 9.74%,0.53 +- 0.59%,99.86 +- 0.44%,0.14 +- 0.44%
Zscore Detector - 400 - 20 - 2.5 - MIN_MAX_ZERO_CENTERED,400,20,2.5,25.06 +- 22.62%,0.21 +- 0.17%,99.69 +- 0.44%,0.31 +- 0.44%
Zscore Detector - 400 - 20 - 3.0 - MIN_MAX_ZERO_CENTERED,400,20,3.0,24.51 +- 21.85%,0.10 +- 0.07%,99.41 +- 0.79%,0.59 +- 0.79%
Zscore Detector - 400 - 20 - 4.0 - MIN_MAX_ZERO_CENTERED,400,20,4.0,15.14 +- 16.11%,0.04 +- 0.03%,98.94 +- 1.55%,1.06 +- 1.55%
Zscore Detector - 400 - 40 - 2.5 - MIN_MAX_ZERO_CENTERED,400,40,2.5,14.81 +- 15.80%,0.17 +- 0.23%,99.17 +- 1.19%,0.83 +- 1.19%
Zscore Detector - 400 - 40 - 3.0 - MIN_MAX_ZERO_CENTERED,400,40,3.0,10.85 +- 14.16%,0.07 +- 0.09%,98.96 +- 1.90%,1.04 +- 1.90%
Zscore Detector - 400 - 40 - 4.0 - MIN_MAX_ZERO_CENTERED,400,40,4.0,7.59 +- 11.17%,0.02 +- 0.02%,97.62 +- 5.30%,2.38 +- 5.30%
Zscore Detector - 400 - 100 - 2.5 - MIN_MAX_ZERO_CENTERED,400,100,2.5,8.21 +- 13.80%,0.22 +- 0.40%,98.33 +- 4.81%,1.67 +- 4.81%
Zscore Detector - 400 - 100 - 3.0 - MIN_MAX_ZERO_CENTERED,400,100,3.0,7.67 +- 13.37%,0.09 +- 0.16%,96.85 +- 9.44%,3.15 +- 9.44%
Zscore Detector - 400 - 100 - 4.0 - MIN_MAX_ZERO_CENTERED,400,100,4.0,6.32 +- 13.29%,0.02 +- 0.03%,nan +- nan%,nan +- nan%
